B-V	Teff	rgb
-0.40	113017	#9bb2ff
-0.35	56701	#9eb5ff
-0.30	33605	#a3b9ff
-0.25	22695	#aabfff
-0.20	16954	#b2c5ff
-0.15	13674	#bbccff
-0.10	11677	#c4d2ff
-0.05	10395	#ccd8ff
-0.00	9531	#d3ddff
0.05	8917	#dae2ff
0.10	8455	#dfe5ff
0.15	8084	#e4e9ff
0.20	7767	#e9ecff
0.25	7483	#eeefff
0.30	7218	#f3f2ff
0.35	6967	#f8f6ff
0.40	6728	#fef9ff
0.45	6500	#fff9fb
0.50	6285	#fff7f5
0.55	6082	#fff5ef
0.60	5895	#fff3ea
0.65	5722	#fff1e5
0.70	5563	#ffefe0
0.75	5418	#ffeddb
0.80	5286	#ffebd6
0.85	5164	#ffe9d2
0.90	5052	#ffe8ce
0.95	4948	#ffe6ca
1.00	4849	#ffe5c6
1.05	4755	#ffe3c3
1.10	4664	#ffe2bf
1.15	4576	#ffe0bb
1.20	4489	#ffdfb8
1.25	4405	#ffddb4
1.30	4322	#ffdbb0
1.35	4241	#ffdaad
1.40	4159	#ffd8a9
1.45	4076	#ffd6a5
1.50	3989	#ffd5a1
1.55	3892	#ffd29c
1.60	3779	#ffd096
1.65	3640	#ffcc8f
1.70	3463	#ffc885
1.75	3234	#ffc178
1.80	2942	#ffb765
1.85	2579	#ffa94b
1.90	2150	#ff9523
1.95	1675	#ff7b00
2.00	1195	#ff5200
